 Query_sequence	HMM_Name	Significance_Evalue	Score
0000384015	PF04221.7	7.5e-16	57.1
0000389239	PF04221.7	1.6e-12	46.4
0000382636	PF04221.7	1.8e-12	46.2
0000387254	PF04221.7	2.7e-12	45.6
0000387079	PF04221.7	2.1e-11	42.8
0000389062	PF04488.10	1.8e-16	59.8
0000384485	PF04488.10	1.1e-13	50.8
0000385030	PF05016.9	6.1e-16	58.0
0000384014	PF05016.9	1e-10	41.3
0000382637	PF05016.9	1.1e-10	41.1
0000386758	PF05105.7	2e-18	65.6
0000381281	PF05105.7	7.4e-18	63.7
0000389445	PF05193.16	7.5e-40	136.0
0000381032	PF05193.16	2.8e-32	111.3
0000385169	PF05193.16	2.9e-22	78.6
0000386259	PF05193.16	1.5e-15	56.7
0000384150	PF07691.7	3.2e-14	52.2
0000387531	PF07883.6	5.8e-18	63.6
0000382620	PF07883.6	3.7e-14	51.4
0000387706	PF07883.6	5.5e-13	47.6
0000388911	PF07883.6	6.3e-12	44.2
0000387239	PF07883.6	1.6e-11	42.9
0000380896	PF07883.6	1.7e-11	42.8
0000384437	PF07883.6	3.4e-11	41.9
0000388260	PF10502.4	3e-11	42.4
0000384485	PF12919.2	2.3e-11	42.3
0000384586	PF13091.1	7.3e-35	118.9
0000388122	PF13091.1	1e-27	95.8
0000382006	PF13091.1	4.3e-26	90.5
0000382787	PF13091.1	1.2e-23	82.6
0000381096	PF13091.1	1e-18	66.7
0000387994	PF13091.1	3.9e-17	61.6
0000381450	PF13091.1	1.2e-10	40.6
0000384163	PF13935.1	7.1e-11	42.0
0000385757	PF13950.1	6.1e-31	105.5
0000389168	PF13950.1	2.4e-18	65.2
0000387575	PF13953.1	1e-18	66.1
0000383652	PF13954.1	4.8e-34	116.4
0000387575	PF13954.1	1.7e-23	82.2
0000389015	PF13964.1	5.8e-16	57.3
0000389069	PF13964.1	7.1e-16	57.0
0000385532	PF13997.1	1.8e-30	104.3
0000380137	PF14057.1	3.3e-193	640.1
0000389251	PF15534.1	6.1e-23	80.5
0000385353	PF15607.1	1.5e-27	95.2
0000387576	3.4.21.72_3	1.5e-98	329.9
0000385084	TIGR02116	1.1e-31	108.0
0000385030	TIGR02385	1e-10	41.1
0000386758	TIGR01593	6.2e-13	47.9
0000381281	TIGR01593	4.6e-12	45.1
0000414581	K01197_243	7.7e-149	495.4
0000414580	K01197_243	1.8e-91	306.2
0000418517	K01197_243	8.5e-12	43.5
0000410087	K01197_243	1.1e-11	43.1
0000410144	K03699_483	1.2e-162	540.6
0000414679	K03699_483	2.9e-151	503.0
0000417627	K03699_483	8e-140	465.3
0000410435	K03699_483	1.6e-137	457.8
0000419557	K03699_483	3.5e-119	397.3
0000418892	K03699_483	1.8e-117	391.7
0000415547	K03699_483	4.6e-108	360.7
0000415471	K03699_483	6.8e-101	337.0
0000419822	K03699_483	8.5e-82	274.1
0000419008	K03699_483	3.6e-70	235.8
0000410065	K03699_483	1.2e-59	201.1
0000412646	K03699_483	2.9e-44	150.4
0000411446	K03699_483	1.1e-20	72.7
0000414651	K06972_355	4.7e-303	1006.9
0000411712	K06972_355	2.4e-298	991.3
0000412328	K06972_355	2.3e-21	74.5
0000410397	K06972_355	3.3e-12	44.1
0000410751	K08587_13	8.6e-13	47.0
0000410164	K10815_8	2.1e-25	88.2
0000419176	K10816_8	8.1e-22	76.5
0000410165	K10816_8	4.7e-19	67.4
0000417623	K10816_8	1.1e-11	43.2
0000414138	K11021_124	6.2e-11	40.3
0000417549	K11060_3	8.9e-19	66.5
0000411863	K11060_3	6.4e-15	53.8
0000410215	K11060_3	9.5e-15	53.2
0000415647	K11060_3	5.6e-14	50.7
0000417549	K11062_2	5.1e-43	146.5
0000419439	K11062_2	1.9e-22	78.5
0000419408	K11063_6	4.6e-67	225.3
0000418275	K11063_6	3.1e-29	99.8
0000417385	K11063_6	4.9e-24	82.5
0000418274	K11063_6	5.4e-24	82.4
0000415600	K11068_1278_95_625	9.4e-76	253.1
0000412624	K11068_1278_95_625	9.7e-61	204.0
0000415209	K12340_892	1e-155	517.9
0000416824	K12340_892	2.3e-55	187.2
0000415115	K12340_892	1.7e-54	184.4
0000418818	K12340_892	2.5e-49	167.3
0000418385	K12340_892	3.2e-49	167.0
0000414160	K12340_892	2e-46	157.7
0000418976	K12340_892	1.2e-45	155.2
0000415482	K12340_892	1.3e-44	151.8
0000410459	K12340_892	2.8e-11	41.9
0000410141	PF00246.19	1.8e-41	142.0
0000410397	PF00675.15	1.4e-16	60.0
0000419309	PF00717.18	1.7e-16	59.0
0000416325	PF00717.18	1.9e-16	58.8
0000418096	PF00717.18	1e-15	56.5
0000413224	PF00717.18	1.1e-15	56.4
0000416759	PF00717.18	1.2e-15	56.3
0000417417	PF00717.18	7.2e-15	53.8
0000418059	PF00717.18	1.7e-13	49.4
0000418819	PF00873.14	0	1228.6
0000415116	PF00873.14	0	1203.3
0000419075	PF00873.14	0	1091.1
0000415108	PF00873.14	4.1e-163	543.7
0000414037	PF00873.14	2e-161	538.1
0000416230	PF00873.14	2.7e-115	385.3
0000416823	PF00873.14	6.3e-68	228.6
0000410504	PF00873.14	7.9e-41	138.8
0000416855	PF00881.19	1.1e-36	125.5
0000419815	PF00881.19	5.6e-33	113.5
0000416994	PF00881.19	2.3e-29	101.7
0000415310	PF00881.19	3e-29	101.4
0000411939	PF00881.19	6.5e-29	100.3
0000410044	PF00881.19	2e-27	95.4
0000416433	PF00881.19	1.1e-26	93.0
0000413909	PF00881.19	4.2e-23	81.4
0000413328	PF00881.19	1.9e-22	79.2
0000416644	PF00881.19	3.3e-22	78.5
0000419513	PF00881.19	9.8e-22	76.9
0000412045	PF00881.19	6.5e-16	58.0
0000414360	PF00881.19	1.8e-13	50.0
0000418403	PF00881.19	8e-11	41.4
0000414618	PF00882.13	7.5e-12	44.6
0000412197	PF00903.20	6.9e-16	57.8
0000418659	PF00903.20	3.8e-15	55.4
0000411556	PF00903.20	9.5e-15	54.1
0000416476	PF00903.20	1.9e-10	40.2
0000412237	PF01325.14	4.6e-14	51.5
0000411100	PF01325.14	1.7e-12	46.5
0000418250	PF01325.14	1.7e-10	40.1
0000419408	PF01473.15	5.3e-103	331.5
0000418275	PF01473.15	9.8e-41	135.2
0000418274	PF01473.15	3.4e-34	114.5
0000417385	PF01473.15	9.4e-16	56.4
0000419017	PF01636.18	1.5e-24	86.4
0000419830	PF01636.18	4e-22	78.5
0000411908	PF01636.18	1.3e-20	73.6
0000419329	PF01636.18	1.3e-18	67.1
0000418276	PF01636.18	1.9e-17	63.2
0000411905	PF01636.18	8.1e-17	61.1
0000417388	PF01636.18	1.8e-16	60.0
0000411460	PF01636.18	4.4e-16	58.7
0000413561	PF01636.18	1.5e-15	57.0
0000410560	PF01636.18	3.4e-13	49.3
0000413652	PF01636.18	1e-10	41.2
0000411575	PF01909.18	3.5e-14	52.3
0000419958	PF02452.12	8.5e-32	109.0
0000419559	PF02452.12	1.4e-31	108.4
0000411100	PF02742.10	1.8e-17	62.1
0000418250	PF02742.10	2e-15	55.7
0000412237	PF02742.10	4.3e-15	54.5
0000410628	PF02742.10	3.6e-13	48.4
0000419172	PF03212.9	8.2e-12	44.3
0000416762	PF03372.18	1.3e-28	100.0
0000410132	PF03372.18	2e-27	96.1
0000411708	PF03372.18	7.3e-26	91.0
0000415034	PF03372.18	4.4e-24	85.2
0000413439	PF03372.18	3.2e-23	82.3
0000413896	PF03372.18	5.3e-20	71.8
0000418875	PF03372.18	4.2e-19	68.9
0000410207	PF03372.18	5.7e-12	45.5
0000416258	PF03372.18	2e-10	40.5
0000417864	PF03837.9	1.1e-33	115.6
0000410425	PF04221.7	5.5e-25	86.3
0000417877	PF04221.7	1.4e-14	53.0
0000414055	PF04221.7	3.2e-14	51.8
0000412613	PF04221.7	2e-12	46.1
0000417381	PF04221.7	2.3e-12	45.9
0000410567	PF04488.10	2.1e-17	62.8
0000413234	PF04734.8	8.7e-14	49.7
0000415072	PF05105.7	1.5e-20	72.4
0000411712	PF05193.16	7.9e-21	74.0
0000414651	PF05193.16	3.1e-15	55.7
0000416001	PF05193.16	1.6e-13	50.1
0000415142	PF06154.6	1.3e-55	185.4
0000417331	PF06609.8	4.3e-12	44.4
0000412887	PF07591.6	2.6e-40	136.7
0000412655	PF07691.7	2.8e-19	68.6
0000414699	PF07883.6	1.3e-14	52.9
0000410592	PF07883.6	3.9e-12	44.9
0000412476	PF07883.6	8e-12	43.9
0000415345	PF07883.6	1.9e-11	42.7
0000411712	PF08367.6	1.1e-64	217.1
0000414651	PF08367.6	2.6e-63	212.6
0000411765	PF08845.5	7.8e-14	50.7
0000413224	PF10502.4	3e-12	45.6
0000412071	PF10671.4	2.8e-23	81.0
0000418786	PF13091.1	2.6e-36	123.6
0000417025	PF13091.1	4e-34	116.5
0000416735	PF13091.1	4.7e-25	87.2
0000410311	PF13091.1	1.5e-20	72.6
0000418983	PF13950.1	9.2e-24	82.6
0000410002	PF13950.1	6.1e-14	51.1
0000415606	PF13958.1	2.3e-26	91.8
0000412117	PF14031.1	1.5e-17	63.0
0000411489	PF14055.1	1.6e-15	55.9
0000418529	PF14057.1	1.7e-193	641.1
0000416715	PF14057.1	4.8e-191	633.0
0000415355	PF14057.1	1.2e-134	447.6
0000415269	PF14057.1	1.8e-36	125.0
0000412295	PF14058.1	1.1e-22	80.0
0000411245	PF15607.1	2.7e-21	75.1
0000414883	3.4.21.19_6	2.3e-33	115.1
0000414056	TIGR00053	1.6e-26	91.8
0000413336	TIGR00053	1.5e-21	75.9
0000410426	TIGR00053	4.6e-20	71.1
0000417382	TIGR02116	1.7e-34	117.0
0000412614	TIGR02116	7.4e-30	102.1
0000417878	TIGR02116	1.4e-28	98.0
0000412481	TIGR02116	7.9e-21	73.2
0000414056	TIGR02385	2.3e-29	100.8
0000410426	TIGR02385	3.9e-22	77.7
0000413336	TIGR02385	1.3e-20	72.7
0000418096	TIGR02771	9e-11	40.7
0000415072	TIGR01593	1.1e-13	50.4
0000192098	K01186_172	1e-68	231.3
0000192552	K01197_243	5e-16	57.4
0000197808	K03699_483	1.3e-126	421.8
0000196423	K03699_483	6.5e-112	373.3
0000195368	K06972_355	6.9e-303	1006.3
0000193365	K06972_355	1.3e-294	978.9
0000192385	K06972_355	3.1e-32	110.5
0000193066	K06972_355	4.1e-19	67.0
0000193065	K06972_355	7.7e-12	42.9
0000197174	K06972_355	1.4e-11	42.1
0000197203	K10815_8	3.1e-19	67.8
0000190248	K10816_8	2.6e-23	81.4
0000197202	K10816_8	2.8e-19	68.1
0000196998	K10816_8	1.4e-11	42.8
0000192542	K11014_24	4.5e-11	41.7
0000196375	K11016_57	3.2e-70	236.2
0000190369	K11016_57	4.8e-63	212.5
0000190370	K11017_55	5.1e-96	321.7
0000190144	K11021_124	1.6e-27	95.1
0000190146	K11021_124	3.2e-15	54.5
0000196470	K11060_3	2.2e-17	62.0
0000190832	K11060_3	4.1e-14	51.1
0000196612	K11060_3	1.1e-13	49.7
0000194743	K11060_3	1.3e-13	49.4
0000193811	K11060_3	3.2e-12	44.9
0000193022	K11062_2	6.2e-24	83.4
0000196223	K11062_2	5e-23	80.4
0000191808	K11062_2	1.3e-18	65.8
0000198287	K11062_2	1e-16	59.6
0000196611	K11063_6	3.9e-31	106.1
0000199118	K11063_6	7.3e-28	95.2
0000194529	K11063_6	9.2e-23	78.3
0000195128	K11063_6	5e-13	46.0
0000195726	K11068_1278_95_625	3.3e-67	225.2
0000198614	K11068_1278_95_625	3.7e-67	225.0
0000192567	K12340_892	2.3e-58	197.1
0000198089	K12340_892	7.5e-49	165.8
0000192603	K12340_892	6.3e-20	70.4
0000196263	K12340_892	3.5e-19	68.0
0000196375	K15125_378	0	1098.1
0000190369	K15125_378	7.2e-146	486.8
0000190277	K01364_14	3.5e-59	199.7
0000190126	K01364_14	5e-53	179.4
0000193328	PF00246.19	1.3e-38	132.6
0000197432	PF00246.19	1.7e-21	76.5
0000196192	PF00267.16	4.5e-21	74.9
0000196673	PF00652.17	6.7e-20	70.8
0000193066	PF00675.15	7.4e-18	64.1
0000197174	PF00675.15	3.7e-17	61.9
0000192385	PF00675.15	4.3e-14	51.9
0000194680	PF00717.18	6.5e-17	60.3
0000199536	PF00717.18	7.5e-15	53.7
0000191257	PF00717.18	1.1e-14	53.2
0000192505	PF00717.18	1.1e-14	53.2
0000193697	PF00717.18	5.2e-13	47.9
0000190804	PF00717.18	8e-13	47.2
0000199821	PF00717.18	3.4e-12	45.2
0000198090	PF00873.14	0	1115.7
0000192858	PF00873.14	8.3e-217	721.4
0000192602	PF00873.14	9.2e-178	592.2
0000198848	PF00873.14	2.1e-11	41.5
0000195606	PF00881.19	1.5e-34	118.6
0000195082	PF00881.19	2.7e-33	114.5
0000195091	PF00881.19	1.3e-29	102.5
0000192138	PF00881.19	2e-27	95.4
0000197001	PF00881.19	9.8e-27	93.2
0000198491	PF00881.19	2.3e-25	88.7
0000199175	PF00881.19	4.8e-25	87.7
0000196207	PF00881.19	2.6e-24	85.3
0000198288	PF00881.19	7.3e-24	83.8
0000194216	PF00881.19	8e-24	83.7
0000191080	PF00881.19	3.5e-21	75.1
0000197119	PF00881.19	1.8e-14	53.3
0000191153	PF00881.19	1.9e-11	43.5
0000196744	PF00882.13	8.3e-11	41.2
0000191769	PF00903.20	3.2e-15	55.6
0000192594	PF00903.20	1.2e-11	44.1
0000192901	PF01325.14	7.4e-13	47.6
0000196771	PF01325.14	6.4e-11	41.4
0000195936	PF01325.14	1.7e-10	40.1
0000194529	PF01473.15	1.6e-41	137.7
0000199118	PF01473.15	8e-19	66.1
0000196456	PF01636.18	4.3e-25	88.2
0000192305	PF01636.18	1.4e-17	63.6
0000193384	PF01636.18	2.6e-14	52.9
0000194049	PF01636.18	3.5e-13	49.3
0000194501	PF01636.18	6.8e-13	48.3
0000199365	PF01636.18	1.8e-12	46.9
0000190277	PF01640.12	4.4e-69	231.5
0000190126	PF01640.12	1.7e-63	213.3
0000197221	PF01885.11	9.9e-48	161.3
0000193877	PF01909.18	3.8e-11	42.6
0000195667	PF01909.18	1.1e-10	41.1
0000196486	PF01909.18	1.2e-10	41.0
0000199545	PF02452.12	3.3e-32	110.3
0000192954	PF02452.12	1.8e-31	108.0
0000195531	PF02452.12	3.5e-23	81.3
0000199093	PF02452.12	8e-22	76.9
0000192901	PF02742.10	9.9e-15	53.4
0000196779	PF02742.10	3.4e-14	51.7
0000195936	PF02742.10	1.2e-13	49.9
0000195877	PF02742.10	2.1e-13	49.1
0000196771	PF02742.10	2.8e-13	48.8
0000198451	PF03372.18	3.9e-26	91.9
0000190134	PF03372.18	3.8e-19	69.0
0000199273	PF03372.18	4.6e-17	62.2
0000190135	PF03372.18	1.3e-16	60.7
0000190338	PF03372.18	8.8e-14	51.4
0000193458	PF03372.18	1.5e-13	50.6
0000192301	PF03372.18	4.8e-12	45.7
0000192945	PF04221.7	3.9e-21	74.0
0000192942	PF04221.7	2.7e-16	58.5
0000194776	PF04221.7	1.7e-15	56.0
0000199125	PF04221.7	1.6e-12	46.4
0000197588	PF04221.7	3.8e-11	42.0
0000193515	PF05016.9	2.5e-13	49.6
0000194647	PF05016.9	6e-12	45.2
0000194256	PF05016.9	1.1e-11	44.3
0000197983	PF05016.9	2.3e-11	43.3
0000194777	PF05016.9	2.3e-10	40.1
0000199084	PF05105.7	4.4e-35	119.3
0000198793	PF05105.7	2e-33	114.0
0000199674	PF05105.7	1e-26	92.3
0000192385	PF05193.16	4.6e-32	110.6
0000197173	PF05193.16	8.2e-27	93.5
0000193065	PF05193.16	7.3e-23	80.6
0000195368	PF05193.16	9.7e-23	80.2
0000191147	PF05193.16	7.8e-19	67.5
0000193365	PF05193.16	5.3e-17	61.5
0000193066	PF05193.16	7.5e-17	61.0
0000197174	PF05193.16	2.7e-13	49.4
0000196375	PF05594.9	1.1e-14	54.0
0000190369	PF05860.8	5.3e-36	122.4
0000196375	PF05860.8	5.9e-32	109.4
0000194228	PF06609.8	1.9e-14	52.2
0000192916	PF07883.6	8.8e-18	63.0
0000195255	PF07883.6	2.3e-17	61.7
0000196988	PF07883.6	3.6e-15	54.6
0000198335	PF07883.6	3.5e-14	51.4
0000190708	PF07883.6	1.1e-13	49.8
0000197827	PF07883.6	9e-13	46.9
0000196965	PF07883.6	2e-12	45.8
0000196273	PF07883.6	1.1e-11	43.4
0000193924	PF07883.6	1.8e-11	42.7
0000191689	PF07883.6	7.3e-11	40.8
0000192002	PF07883.6	7.5e-11	40.8
0000197002	PF07883.6	9e-11	40.5
0000198329	PF07883.6	1.3e-10	40.0
0000195368	PF08367.6	3.4e-64	215.5
0000193365	PF08367.6	5.4e-59	198.4
0000193181	PF10502.4	2.5e-12	45.9
0000191439	PF13091.1	7.2e-32	109.2
0000192014	PF13091.1	6.2e-31	106.2
0000196000	PF13091.1	5.2e-30	103.2
0000191647	PF13091.1	8.3e-30	102.5
0000193882	PF13091.1	4.2e-29	100.2
0000198145	PF13091.1	2.2e-25	88.2
0000196316	PF13091.1	7.9e-23	80.0
0000190954	PF13091.1	6.3e-21	73.8
0000198456	PF13091.1	1.8e-19	69.1
0000199777	PF13091.1	1.5e-17	62.9
0000199781	PF13091.1	3.2e-16	58.6
0000196620	PF13517.1	2.2e-20	72.2
0000199364	PF13950.1	2.9e-34	116.2
0000191837	PF13950.1	3.4e-33	112.8
0000194500	PF13950.1	2.3e-32	110.1
0000190415	PF13954.1	3.9e-21	74.5
0000197671	PF13964.1	7.4e-16	57.0
0000197850	PF14031.1	1.3e-19	69.5
0000196062	PF14055.1	1e-18	66.2
0000199153	PF14057.1	1.8e-190	631.1
0000193302	PF14058.1	2.1e-15	56.5
0000193839	PF15534.1	7.1e-25	86.7
0000190277	3.4.22.10_6	1.3e-48	165.2
0000190126	3.4.22.10_6	1.7e-42	145.0
0000199124	TIGR02116	3.4e-30	103.2
0000198976	TIGR02116	8.8e-25	85.8
0000192920	TIGR02116	7.7e-23	79.6
0000199674	TIGR01593	3.9e-25	87.4
0000199084	TIGR01593	5.7e-24	83.6
0000198793	TIGR01593	1.1e-20	73.0
0000561756	K03699_483	2.2e-113	376.8
0000563403	K03699_483	1.7e-111	370.6
0000560254	K03699_483	6.1e-109	362.2
0000563130	K06972_355	4.6e-294	975.7
0000561070	K06972_355	7.5e-20	68.1
0000561276	K10816_8	1.1e-21	74.6
0000562269	K11005_20	1.2e-55	186.9
0000563379	K11016_57	7.2e-25	84.5
0000562269	K11029_8	2.4e-35	119.1
0000561589	K11062_2	1.9e-24	83.8
0000562560	K11062_2	4.4e-12	42.9
0000561023	K11063_6	6.1e-26	87.4
0000560275	K11063_6	3.3e-18	61.8
0000562913	K11068_1278_95_625	7e-67	222.7
0000563576	K12340_892	3.1e-91	304.0
0000562875	K12340_892	6.5e-39	131.6
0000563379	K15125_378	5.5e-87	290.2
0000563406	K15125_378	6.3e-40	134.3
0000562269	PF00353.14	7.6e-26	86.1
0000562505	PF00675.15	4.7e-39	131.5
0000561070	PF00675.15	6.2e-34	114.9
0000562963	PF00717.18	9.7e-19	64.8
0000562340	PF00717.18	3.5e-16	56.6
0000560216	PF00717.18	1.3e-13	48.4
0000563275	PF00873.14	1e-220	732.9
0000562951	PF00881.19	5.3e-26	89.4
0000563492	PF00881.19	9e-25	85.4
0000562838	PF00881.19	2e-23	81.0
0000563177	PF00881.19	7.1e-23	79.2
0000561966	PF00881.19	2e-13	48.5
0000563460	PF00903.20	1.7e-16	58.4
0000561023	PF01473.15	9.6e-34	111.8
0000560275	PF01473.15	3.3e-15	53.3
0000563727	PF01473.15	2.6e-11	41.1
0000562278	PF01909.18	7.9e-15	53.0
0000560255	PF02452.12	1.9e-32	109.7
0000561755	PF02452.12	1.6e-31	106.8
0000562883	PF02452.12	1e-28	97.7
0000560035	PF02742.10	2.6e-16	57.1
0000562098	PF02742.10	1.2e-15	55.0
0000561648	PF02742.10	1.6e-12	44.9
0000562422	PF03372.18	4.3e-24	83.8
0000561789	PF03372.18	9.4e-15	53.2
0000561850	PF03837.9	8.4e-46	153.8
0000562026	PF04221.7	4.7e-14	49.9
0000561635	PF05016.9	2.1e-13	48.5
0000562009	PF05016.9	2.9e-11	41.6
0000560842	PF05016.9	4.2e-11	41.1
0000562505	PF05193.16	1.3e-36	124.0
0000561070	PF05193.16	2e-32	110.4
0000563130	PF05193.16	3e-23	80.4
0000560485	PF07362.7	1e-29	100.2
0000560511	PF07691.7	2.1e-25	87.1
0000563418	PF07883.6	1.4e-15	54.6
0000562658	PF07883.6	9.8e-15	51.9
0000563130	PF08367.6	2.5e-61	204.7
0000561026	PF08998.6	5.8e-43	142.8
0000562077	PF13091.1	4.6e-12	43.8
0000560220	PF13091.1	2.2e-11	41.6
0000560173	PF13517.1	5.1e-12	44.0
0000560018	PF13950.1	1.1e-32	109.8
0000562540	PF14057.1	2.8e-198	655.4
0000563270	PF14057.1	9.3e-192	634.0
0000563397	PF15636.1	7.5e-15	52.4
0000562033	TIGR02116	8.5e-30	100.6
0000561635	TIGR02385	1.6e-11	42.3
0000048920	K01186_172	5.7e-103	344.0
0000046988	K01186_172	1.1e-100	336.5
0000046989	K01186_172	8.2e-89	297.4
0000047057	K01186_172	1.3e-31	109.2
0000042819	K01186_172	6.6e-14	50.9
0000044662	K01197_243	1.6e-145	484.4
0000043138	K01197_243	2.5e-102	342.0
0000043137	K01197_243	3.9e-18	64.4
0000044464	K01197_243	2.6e-14	51.7
0000047348	K01197_243	1.8e-11	42.4
0000045032	K03699_483	3.6e-125	417.0
0000044146	K03699_483	1.7e-123	411.5
0000047421	K03699_483	1.5e-96	322.7
0000043823	K03699_483	2.5e-62	209.9
0000040478	K06972_355	2.2e-303	1008.0
0000047366	K06972_355	2.4e-16	57.8
0000044508	K06972_355	2.7e-14	51.1
0000044507	K06972_355	1.5e-13	48.6
0000045545	K10815_8	1.7e-12	45.6
0000046759	K10816_8	1.2e-40	138.5
0000040823	K11017_55	2.2e-16	58.9
0000046781	K11021_124	2.5e-17	61.5
0000045665	K11041_146	4.5e-16	57.9
0000041584	K11060_3	5e-25	87.2
0000045478	K11060_3	8.1e-23	79.9
0000048728	K11060_3	3.9e-22	77.6
0000041945	K11060_3	7.7e-18	63.4
0000043626	K11060_3	3.5e-16	58.0
0000045592	K11060_3	1.2e-15	56.2
0000049573	K11060_3	1.3e-13	49.5
0000045397	K11060_3	7.9e-13	46.9
0000045043	K11062_2	5.5e-14	50.6
0000049573	K11062_2	1.1e-13	49.6
0000044573	K11062_2	1.2e-13	49.5
0000043626	K11062_2	1.4e-12	45.9
0000040810	K11063_6	9.5e-41	138.0
0000042914	K11063_6	2e-27	93.8
0000048136	K11063_6	3.3e-23	79.8
0000044197	K11063_6	3.5e-23	79.7
0000042300	K11063_6	1.5e-22	77.6
0000040043	K11063_6	1.9e-16	57.4
0000045615	K11063_6	2.9e-15	53.5
0000041966	K11063_6	2.5e-14	50.3
0000047469	K11068_1278_95_625	1.8e-54	183.5
0000046916	K12340_892	3.5e-48	163.6
0000047048	K12340_892	2e-43	147.9
0000046129	K12340_892	2e-39	134.7
0000044844	K12340_892	2.4e-30	104.8
0000042055	K12340_892	5.4e-27	93.7
0000047180	K12340_892	4.4e-15	54.5
0000049277	K12340_892	1.3e-14	52.9
0000047378	K01364_14	4.9e-11	41.2
0000046837	PF00267.16	3.2e-148	492.9
0000044320	PF00267.16	6.2e-142	472.2
0000047366	PF00675.15	3.3e-24	84.7
0000044508	PF00675.15	4.9e-21	74.4
0000047179	PF00675.15	9.8e-16	57.2
0000041029	PF00675.15	2.6e-15	55.9
0000048439	PF00675.15	5.9e-14	51.5
0000040924	PF00675.15	1.6e-13	50.1
0000043738	PF00717.18	8.7e-17	59.9
0000045774	PF00717.18	2.3e-16	58.6
0000047856	PF00717.18	3.7e-16	57.9
0000046056	PF00717.18	1.9e-15	55.6
0000048741	PF00717.18	6.6e-15	53.9
0000042142	PF00717.18	9.5e-15	53.4
0000040523	PF00717.18	1.7e-14	52.6
0000043385	PF00717.18	8.1e-13	47.2
0000044978	PF00717.18	3.1e-11	42.1
0000044910	PF00717.18	1.1e-10	40.4
0000046924	PF00801.15	2e-19	68.5
0000046923	PF00801.15	4.4e-12	45.0
0000047047	PF00873.14	0	1030.2
0000046917	PF00873.14	1.1e-294	979.3
0000044842	PF00873.14	1.3e-242	806.8
0000045007	PF00873.14	1.2e-203	677.9
0000046309	PF00873.14	2.3e-198	660.4
0000049161	PF00873.14	3e-132	441.5
0000042075	PF00873.14	2.6e-125	418.5
0000046308	PF00873.14	2.7e-85	286.1
0000049514	PF00873.14	2.2e-71	240.0
0000041173	PF00881.19	9.7e-33	112.7
0000040707	PF00881.19	3.9e-31	107.5
0000048014	PF00881.19	9.5e-31	106.2
0000044998	PF00881.19	3.6e-30	104.4
0000048165	PF00881.19	4.8e-29	100.7
0000043129	PF00881.19	1.5e-28	99.1
0000045627	PF00881.19	8.6e-28	96.6
0000048604	PF00881.19	1e-26	93.1
0000045550	PF00881.19	5.1e-26	90.8
0000041746	PF00881.19	1.4e-25	89.5
0000047320	PF00881.19	2.5e-24	85.4
0000040944	PF00881.19	4.3e-22	78.1
0000047054	PF00881.19	1.4e-11	43.9
0000045225	PF00882.13	1.3e-15	56.9
0000043990	PF00882.13	1.1e-10	40.8
0000042507	PF00903.20	1.2e-19	69.9
0000045343	PF00903.20	3.2e-16	58.9
0000046450	PF00903.20	5.7e-15	54.8
0000042182	PF00903.20	1.4e-13	50.3
0000049789	PF00903.20	1.5e-12	47.0
0000043863	PF00903.20	4.5e-12	45.5
0000049535	PF01325.14	1.3e-10	40.5
0000040810	PF01473.15	8.9e-59	192.1
0000044197	PF01473.15	3.5e-37	124.0
0000048136	PF01473.15	4.1e-34	114.3
0000045966	PF01473.15	6.9e-21	72.6
0000041966	PF01473.15	1.1e-20	72.0
0000042300	PF01473.15	1.9e-19	68.1
0000045965	PF01473.15	5.5e-19	66.6
0000042914	PF01473.15	7.9e-17	59.8
0000040407	PF01473.15	3.2e-14	51.6
0000040043	PF01473.15	4.2e-12	44.9
0000045790	PF01473.15	1.2e-11	43.5
0000048417	PF01636.18	1e-31	109.9
0000048030	PF01636.18	5.8e-27	94.3
0000041979	PF01636.18	1.3e-23	83.4
0000049352	PF01636.18	5.9e-15	55.0
0000047378	PF01640.12	1.9e-23	82.6
0000043451	PF01885.11	6.6e-53	178.2
0000040314	PF01909.18	1.3e-11	44.0
0000048245	PF02452.12	5.3e-31	106.5
0000045409	PF02452.12	1.4e-29	101.9
0000041560	PF02452.12	7.5e-22	77.0
0000045457	PF02742.10	1.5e-14	52.8
0000048833	PF02742.10	1e-13	50.1
0000047214	PF02742.10	1.2e-13	49.9
0000049535	PF02742.10	1.6e-13	49.5
0000049420	PF02742.10	8.9e-12	43.9
0000049063	PF02742.10	1.3e-11	43.4
0000044880	PF03372.18	2.1e-28	99.3
0000041390	PF03372.18	1.2e-25	90.3
0000046912	PF03372.18	1.8e-17	63.5
0000046927	PF03372.18	5e-16	58.8
0000041536	PF03372.18	2e-15	56.8
0000046913	PF03372.18	3.2e-15	56.1
0000048424	PF03372.18	2.1e-14	53.5
0000046925	PF03372.18	3.4e-11	42.9
0000040747	PF03837.9	4.7e-40	136.4
0000043380	PF03837.9	7.8e-29	99.8
0000047239	PF04221.7	2.9e-17	61.6
0000043723	PF04221.7	9.2e-14	50.4
0000046488	PF04488.10	2.5e-12	46.5
0000046070	PF04734.8	2.1e-14	51.8
0000043206	PF05016.9	1.6e-14	53.4
0000041001	PF05016.9	3.6e-13	49.1
0000043326	PF05016.9	5.5e-11	42.1
0000041628	PF05105.7	3e-44	148.9
0000040973	PF05105.7	1e-35	121.4
0000040785	PF05105.7	1.1e-27	95.4
