Gene_1	Gene_2	Gene_1_group	Gene_2_group	Identity	end_match	full_length_match
C-1_maxbin.013.fasta.contigs_01356	D43_metabat2.114.fa.contigs_00775	F	BT	85.108	no	no
C-1_maxbin.013.fasta.contigs_01374	D38_maxbin.013.fasta.contigs_03029	F	AL	100.0	no	yes
C-1_maxbin.014.fasta.contigs_00077	D38_maxbin.013.fasta.contigs_03249	G	AL	100.0	no	yes
C-1_maxbin.014.fasta.contigs_00088	D38_maxbin.011.fasta.contigs_03859	G	AK	99.893	no	yes
C-1_maxbin.014.fasta.contigs_01103	D38_maxbin.013.fasta.contigs_01183	G	AL	100.0	no	no
C-1_maxbin.014.fasta.contigs_01304	D38_maxbin.006.fasta.contigs_00857	G	AJ	96.798	yes	no
C-1_maxbin.014.fasta.contigs_01976	D38_maxbin.011.fasta.contigs_00556	G	AK	99.343	no	yes
C-1_maxbin.014.fasta.contigs_03326	D38_maxbin.013.fasta.contigs_02397	G	AL	100.0	no	no
C-1_maxbin.014.fasta.contigs_03901	D38_maxbin.013.fasta.contigs_02615	G	AL	100.0	no	yes
C-1_maxbin.014.fasta.contigs_04129	D38_maxbin.013.fasta.contigs_01494	G	AL	100.0	no	no
C-1_maxbin.016.fasta.contigs_00108	D38_maxbin.010.fasta.contigs_04131	I	G	100.0	no	yes
C-1_maxbin.016.fasta.contigs_00322	C-1_maxbin.035.fasta.contigs_00106	I	T	85.811	no	no
C-1_maxbin.016.fasta.contigs_00324	D43_maxbin.034.fasta.contigs_01351	I	A	89.055	no	no
C-1_maxbin.016.fasta.contigs_00363	D43_maxbin.100.fasta.contigs_01569	I	BM	85.036	no	no
C-1_maxbin.016.fasta.contigs_00473	D38_maxbin.011.fasta.contigs_03355	I	AK	91.132	no	yes
C-1_maxbin.016.fasta.contigs_00887	D43_maxbin.005.fasta.contigs_01434	I	AO	87.963	yes	no
C-1_maxbin.016.fasta.contigs_00917	D43_maxbin.005.fasta.contigs_01205	I	AO	77.586	no	no
C-1_maxbin.016.fasta.contigs_01190	D43_maxbin.035.fasta.contigs_00905	I	AZ	81.467	no	no
C-1_maxbin.016.fasta.contigs_01192	D43_maxbin.035.fasta.contigs_00769	I	AZ	81.796	no	no
C-1_maxbin.016.fasta.contigs_01471	D38_maxbin.008.fasta.contigs_00424	I	AK	90.68	no	no
C-1_maxbin.016.fasta.contigs_01747	D43_maxbin.161.fasta.contigs_01735	I	BS	93.204	no	no
C-1_maxbin.016.fasta.contigs_01864	D43_metabat2.147.fa.contigs_00031	I	BU	82.222	no	no
C-1_maxbin.022.fasta.contigs_00157	D43_maxbin.145.fasta.contigs_01288	M	BQ	98.944	no	yes
C-1_maxbin.022.fasta.contigs_00455	D43_maxbin.007.fasta.contigs_01146	M	AQ	97.849	no	no
C-1_maxbin.022.fasta.contigs_00742	C-1_maxbin.046.fasta.contigs_00475	M	Y	88.148	no	no
C-1_maxbin.022.fasta.contigs_01449	D43_maxbin.072.fasta.contigs_00604	M	Y	92.81	no	no
C-1_maxbin.022.fasta.contigs_01453	D43_maxbin.072.fasta.contigs_00798	M	Y	96.382	no	yes
C-1_maxbin.022.fasta.contigs_01829	D43_maxbin.072.fasta.contigs_00838	M	Y	99.725	no	no
C-1_maxbin.024.fasta.contigs_00307	C-1_maxbin.016.fasta.contigs_00046	O	I	78.604	no	no
C-1_maxbin.024.fasta.contigs_00836	D43_maxbin.005.fasta.contigs_01577	O	AO	86.848	no	no
C-1_maxbin.024.fasta.contigs_00925	D38_maxbin.013.fasta.contigs_02580	O	AL	84.708	no	no
C-1_maxbin.024.fasta.contigs_01143	C-1_maxbin.016.fasta.contigs_00046	O	I	78.681	no	no
C-1_maxbin.024.fasta.contigs_01586	C-1_maxbin.015.fasta.contigs_02119	O	H	86.147	no	no
C-1_maxbin.024.fasta.contigs_01643	D43_maxbin.005.fasta.contigs_00549	O	AO	84.132	no	no
C-1_maxbin.026.fasta_sub.contigs_00012	C-1_metabat2.43.fa.contigs_00748	Q	AD	79.021	no	no
C-1_maxbin.026.fasta_sub.contigs_00100	D43_maxbin.007.fasta.contigs_00398	Q	AQ	84.553	no	no
C-1_maxbin.026.fasta_sub.contigs_00121	D43_maxbin.018.fasta.contigs_01370	Q	D	91.192	no	no
C-1_maxbin.026.fasta_sub.contigs_00122	C-1_maxbin.041.fasta.contigs_01146	Q	X	93.484	no	no
C-1_maxbin.026.fasta_sub.contigs_00123	C-1_maxbin.030.fasta.contigs_00494	Q	R	84.9	no	no
C-1_maxbin.026.fasta_sub.contigs_00140	C-1_maxbin.041.fasta.contigs_01002	Q	X	80.181	no	yes
C-1_maxbin.026.fasta_sub.contigs_00143	D43_maxbin.065.fasta.contigs_00501	Q	BH	79.986	no	yes
C-1_maxbin.026.fasta_sub.contigs_00163	C-1_maxbin.041.fasta.contigs_01317	Q	X	84.05	no	no
C-1_maxbin.026.fasta_sub.contigs_00176	C-1_maxbin.005.fasta.contigs_03561	Q	D	80.782	no	no
C-1_maxbin.026.fasta_sub.contigs_00177	D43_maxbin.065.fasta.contigs_01080	Q	BH	78.738	no	no
C-1_maxbin.026.fasta_sub.contigs_00209	C-1_maxbin.033.fasta_sub.contigs_01435	Q	D	83.19	no	no
C-1_maxbin.026.fasta_sub.contigs_00214	C-1_maxbin.033.fasta_sub.contigs_01440	Q	D	80.241	no	no
C-1_maxbin.026.fasta_sub.contigs_00232	C-1_maxbin.041.fasta.contigs_01919	Q	X	80.022	no	yes
C-1_maxbin.026.fasta_sub.contigs_00237	C-1_maxbin.041.fasta.contigs_01924	Q	X	81.951	no	yes
C-1_maxbin.026.fasta_sub.contigs_00244	D43_maxbin.065.fasta.contigs_01329	Q	BH	78.344	no	no
C-1_maxbin.026.fasta_sub.contigs_00365	D43_maxbin.046.fasta.contigs_01588	Q	D	100.0	no	no
C-1_maxbin.026.fasta_sub.contigs_00411	C-1_maxbin.030.fasta.contigs_02974	Q	R	96.165	yes	no
C-1_maxbin.026.fasta_sub.contigs_00412	C-1_maxbin.030.fasta.contigs_02973	Q	R	96.35	yes	no
C-1_maxbin.026.fasta_sub.contigs_00442	D43_maxbin.065.fasta.contigs_00284	Q	BH	78.936	no	no
C-1_maxbin.026.fasta_sub.contigs_00447	C-1_maxbin.041.fasta.contigs_00045	Q	X	80.622	no	no
C-1_maxbin.026.fasta_sub.contigs_00469	C-1_maxbin.005.fasta.contigs_02003	Q	D	95.802	yes	no
C-1_maxbin.026.fasta_sub.contigs_00518	C-1_maxbin.030.fasta.contigs_03440	Q	R	82.759	no	yes
C-1_maxbin.026.fasta_sub.contigs_00519	C-1_maxbin.005.fasta.contigs_02073	Q	D	82.747	no	yes
C-1_maxbin.026.fasta_sub.contigs_00563	D43_maxbin.025.fasta.contigs_02417	Q	AU	88.023	no	no
C-1_maxbin.026.fasta_sub.contigs_00564	D43_maxbin.025.fasta.contigs_02418	Q	AU	86.281	no	no
C-1_maxbin.026.fasta_sub.contigs_00565	D43_maxbin.025.fasta.contigs_02419	Q	AU	87.049	no	no
C-1_maxbin.026.fasta_sub.contigs_00566	D43_maxbin.120.fasta.contigs_03171	Q	AQ	85.783	no	no
C-1_maxbin.026.fasta_sub.contigs_00584	D43_maxbin.025.fasta.contigs_01080	Q	AU	85.681	no	no
C-1_maxbin.026.fasta_sub.contigs_00594	D43_maxbin.025.fasta.contigs_02042	Q	AU	81.51	no	no
C-1_maxbin.026.fasta_sub.contigs_00667	D43_maxbin.025.fasta.contigs_00252	Q	AU	83.209	no	no
C-1_maxbin.026.fasta_sub.contigs_00668	D43_maxbin.025.fasta.contigs_00251	Q	AU	87.793	no	no
C-1_maxbin.026.fasta_sub.contigs_00672	C-1_maxbin.037.fasta.contigs_01278	Q	U	72.393	no	no
C-1_maxbin.026.fasta_sub.contigs_00696	D43_maxbin.161.fasta.contigs_00615	Q	BS	81.259	no	no
C-1_maxbin.026.fasta_sub.contigs_00697	D43_maxbin.053.fasta.contigs_00236	Q	A	73.38	no	no
C-1_maxbin.026.fasta_sub.contigs_00747	C-1_maxbin.054.fasta_sub.contigs_00227	Q	D	79.678	no	no
C-1_maxbin.026.fasta_sub.contigs_00748	C-1_maxbin.054.fasta_sub.contigs_00226	Q	D	82.483	no	no
C-1_maxbin.026.fasta_sub.contigs_00802	D43_maxbin.065.fasta.contigs_02153	Q	BH	80.343	no	yes
C-1_maxbin.026.fasta_sub.contigs_00807	D43_maxbin.007.fasta.contigs_01698	Q	AQ	80.077	no	no
C-1_maxbin.026.fasta_sub.contigs_00811	C-1_metabat2.79.fa.contigs_01969	Q	AF	77.915	no	no
C-1_maxbin.026.fasta_sub.contigs_00836	D43_maxbin.025.fasta.contigs_04015	Q	AU	82.854	no	no
C-1_maxbin.026.fasta_sub.contigs_00858	D43_maxbin.047.fasta.contigs_01110	Q	BD	83.6	no	no
C-1_maxbin.026.fasta_sub.contigs_00859	C-1_metabat2.79.fa.contigs_00504	Q	AF	78.939	no	no
C-1_maxbin.026.fasta_sub.contigs_00860	C-1_maxbin.033.fasta_sub.contigs_00928	Q	D	85.045	no	no
C-1_maxbin.026.fasta_sub.contigs_00864	D43_maxbin.120.fasta.contigs_03865	Q	AQ	83.108	no	no
C-1_maxbin.026.fasta_sub.contigs_00872	D43_maxbin.007.fasta.contigs_02956	Q	AQ	80.491	no	no
C-1_maxbin.026.fasta_sub.contigs_00912	D43_maxbin.065.fasta.contigs_01621	Q	BH	80.687	no	no
C-1_maxbin.026.fasta_sub.contigs_00913	D43_maxbin.065.fasta.contigs_01620	Q	BH	80.191	no	no
C-1_maxbin.026.fasta_sub.contigs_00914	D43_maxbin.065.fasta.contigs_01619	Q	BH	79.148	no	no
C-1_maxbin.026.fasta_sub.contigs_00917	D43_maxbin.065.fasta.contigs_01616	Q	BH	81.02	no	no
C-1_maxbin.026.fasta_sub.contigs_00919	D43_maxbin.065.fasta.contigs_01372	Q	BH	79.666	no	no
C-1_maxbin.026.fasta_sub.contigs_00923	D43_maxbin.065.fasta.contigs_02197	Q	BH	78.763	no	no
C-1_maxbin.026.fasta_sub.contigs_00929	D43_maxbin.065.fasta.contigs_01877	Q	BH	78.333	no	no
C-1_maxbin.026.fasta_sub.contigs_00930	D43_maxbin.065.fasta.contigs_02190	Q	BH	84.364	no	no
C-1_maxbin.026.fasta_sub.contigs_00966	D43_maxbin.065.fasta.contigs_01118	Q	BH	83.248	no	no
C-1_maxbin.026.fasta_sub.contigs_00974	D43_maxbin.120.fasta.contigs_04602	Q	AQ	81.292	no	no
C-1_maxbin.026.fasta_sub.contigs_01053	C-1_maxbin.032.fasta.contigs_02501	Q	S	89.233	no	yes
C-1_maxbin.026.fasta_sub.contigs_01055	D43_maxbin.025.fasta.contigs_01319	Q	AU	97.917	no	yes
C-1_maxbin.026.fasta_sub.contigs_01070	D43_maxbin.046.fasta.contigs_00629	Q	D	80.814	no	no
C-1_maxbin.026.fasta_sub.contigs_01074	D43_maxbin.065.fasta.contigs_02504	Q	BH	78.235	no	no
C-1_maxbin.026.fasta_sub.contigs_01080	D43_maxbin.065.fasta.contigs_02499	Q	BH	81.267	no	no
C-1_maxbin.026.fasta_sub.contigs_01088	C-1_metabat2.79.fa.contigs_01884	Q	AF	80.357	no	no
C-1_maxbin.026.fasta_sub.contigs_01096	D43_maxbin.065.fasta.contigs_01965	Q	BH	86.735	no	no
C-1_maxbin.026.fasta_sub.contigs_01097	D43_maxbin.065.fasta.contigs_01964	Q	BH	85.548	no	no
C-1_maxbin.026.fasta_sub.contigs_01120	D43_maxbin.007.fasta.contigs_01261	Q	AQ	93.495	no	no
C-1_maxbin.026.fasta_sub.contigs_01121	D43_maxbin.007.fasta.contigs_02661	Q	AQ	95.095	no	no
C-1_maxbin.026.fasta_sub.contigs_01134	D43_maxbin.062.fasta.contigs_00642	Q	C	79.355	no	no
C-1_maxbin.026.fasta_sub.contigs_01146	D43_maxbin.065.fasta.contigs_00556	Q	BH	79.516	no	no
C-1_maxbin.026.fasta_sub.contigs_01158	D43_maxbin.007.fasta.contigs_00242	Q	AQ	82.192	no	no
C-1_maxbin.026.fasta_sub.contigs_01188	D43_maxbin.025.fasta.contigs_03589	Q	AU	92.62	yes	no
C-1_maxbin.026.fasta_sub.contigs_01219	D43_maxbin.065.fasta.contigs_01726	Q	BH	80.022	no	no
C-1_maxbin.026.fasta_sub.contigs_01221	D43_maxbin.065.fasta.contigs_01729	Q	BH	78.947	no	no
C-1_maxbin.026.fasta_sub.contigs_01224	D43_maxbin.025.fasta.contigs_01100	Q	AU	97.308	no	yes
C-1_maxbin.026.fasta_sub.contigs_01302	D43_maxbin.161.fasta.contigs_02156	Q	BS	78.607	no	no
C-1_maxbin.026.fasta_sub.contigs_01307	C-1_maxbin.041.fasta.contigs_00484	Q	X	80.629	no	no
C-1_maxbin.026.fasta_sub.contigs_01337	D43_maxbin.065.fasta.contigs_01455	Q	BH	99.808	no	no
C-1_maxbin.026.fasta_sub.contigs_01358	D43_maxbin.046.fasta.contigs_01591	Q	D	87.975	no	no
C-1_maxbin.026.fasta_sub.contigs_01360	D43_maxbin.007.fasta.contigs_01261	Q	AQ	89.313	no	yes
C-1_maxbin.026.fasta_sub.contigs_01361	D43_maxbin.046.fasta.contigs_01588	Q	D	88.444	no	no
C-1_maxbin.026.fasta_sub.contigs_01362	D43_maxbin.007.fasta.contigs_01259	Q	AQ	90.092	no	yes
C-1_maxbin.026.fasta_sub.contigs_01363	D43_maxbin.007.fasta.contigs_01258	Q	AQ	92.222	no	yes
C-1_maxbin.026.fasta_sub.contigs_01366	D43_maxbin.007.fasta.contigs_01255	Q	AQ	98.771	no	yes
C-1_maxbin.026.fasta_sub.contigs_01391	C-1_metabat2.104.fa.contigs_00971	Q	AC	79.072	no	no
C-1_maxbin.026.fasta_sub.contigs_01394	D43_maxbin.025.fasta.contigs_00239	Q	AU	81.498	no	no
C-1_maxbin.026.fasta_sub.contigs_01445	D43_maxbin.025.fasta.contigs_02029	Q	AU	81.963	no	no
C-1_maxbin.026.fasta_sub.contigs_01447	D43_maxbin.047.fasta.contigs_01210	Q	BD	79.468	no	no
C-1_maxbin.026.fasta_sub.contigs_01502	D43_maxbin.025.fasta.contigs_02755	Q	AU	85.804	no	no
C-1_maxbin.026.fasta_sub.contigs_01522	D43_maxbin.065.fasta.contigs_00769	Q	BH	81.312	no	no
C-1_maxbin.026.fasta_sub.contigs_01555	D43_maxbin.120.fasta.contigs_01313	Q	AQ	78.981	no	yes
C-1_maxbin.026.fasta_sub.contigs_01559	C-1_maxbin.033.fasta_sub.contigs_01016	Q	D	80.395	no	no
C-1_maxbin.026.fasta_sub.contigs_01560	D43_maxbin.007.fasta.contigs_00584	Q	AQ	81.546	no	no
C-1_maxbin.026.fasta_sub.contigs_01575	D43_maxbin.007.fasta.contigs_00794	Q	AQ	79.167	no	no
C-1_maxbin.026.fasta_sub.contigs_01603	C-1_maxbin.005.fasta.contigs_01832	Q	D	84.252	no	no
C-1_maxbin.026.fasta_sub.contigs_01604	C-1_maxbin.041.fasta.contigs_00097	Q	X	81.76	no	no
C-1_maxbin.026.fasta_sub.contigs_01617	D43_maxbin.065.fasta.contigs_00054	Q	BH	78.529	no	yes
C-1_maxbin.026.fasta_sub.contigs_01622	D43_maxbin.007.fasta.contigs_00753	Q	AQ	79.682	no	no
C-1_maxbin.026.fasta_sub.contigs_01640	C-1_maxbin.041.fasta.contigs_00411	Q	X	80.15	no	no
C-1_maxbin.026.fasta_sub.contigs_01675	D43_maxbin.025.fasta.contigs_00896	Q	AU	83.521	no	no
C-1_maxbin.026.fasta_sub.contigs_01747	C-1_metabat2.79.fa.contigs_00992	Q	AF	78.75	no	no
C-1_maxbin.026.fasta_sub.contigs_01825	C-1_maxbin.005.fasta.contigs_03129	Q	D	89.882	no	no
C-1_maxbin.026.fasta_sub.contigs_01830	D43_maxbin.065.fasta.contigs_01375	Q	BH	78.39	no	no
C-1_maxbin.026.fasta_sub.contigs_01832	D43_maxbin.065.fasta.contigs_00165	Q	BH	86.163	no	no
C-1_maxbin.026.fasta_sub.contigs_01841	D43_maxbin.065.fasta.contigs_00614	Q	BH	79.534	no	no
C-1_maxbin.026.fasta_sub.contigs_01857	C-1_maxbin.030.fasta.contigs_00777	Q	R	88.05	no	no
C-1_maxbin.026.fasta_sub.contigs_01858	C-1_maxbin.032.fasta.contigs_00782	Q	S	82.205	no	no
C-1_maxbin.026.fasta_sub.contigs_01859	C-1_maxbin.030.fasta.contigs_00775	Q	R	81.38	no	no
C-1_maxbin.026.fasta_sub.contigs_01860	C-1_maxbin.030.fasta.contigs_00774	Q	R	83.849	no	no
C-1_maxbin.026.fasta_sub.contigs_01861	C-1_maxbin.030.fasta.contigs_00773	Q	R	84.058	no	no
C-1_maxbin.026.fasta_sub.contigs_01862	C-1_maxbin.030.fasta.contigs_00772	Q	R	87.687	no	no
C-1_maxbin.026.fasta_sub.contigs_01863	C-1_maxbin.030.fasta.contigs_00771	Q	R	87.339	no	no
C-1_maxbin.026.fasta_sub.contigs_01864	C-1_maxbin.030.fasta.contigs_00770	Q	R	86.301	no	no
C-1_maxbin.026.fasta_sub.contigs_01865	C-1_maxbin.030.fasta.contigs_00769	Q	R	84.018	no	no
C-1_maxbin.026.fasta_sub.contigs_01867	C-1_maxbin.030.fasta.contigs_00767	Q	R	85.887	no	no
C-1_maxbin.026.fasta_sub.contigs_01868	C-1_maxbin.032.fasta.contigs_00792	Q	S	86.992	no	no
C-1_maxbin.026.fasta_sub.contigs_01870	C-1_maxbin.030.fasta.contigs_00764	Q	R	84.972	no	no
C-1_maxbin.026.fasta_sub.contigs_01872	C-1_maxbin.030.fasta.contigs_00762	Q	R	79.8	no	no
C-1_maxbin.026.fasta_sub.contigs_01873	C-1_maxbin.032.fasta.contigs_00797	Q	S	84.346	no	no
C-1_maxbin.026.fasta_sub.contigs_01874	C-1_maxbin.032.fasta.contigs_00798	Q	S	85.598	no	no
C-1_maxbin.026.fasta_sub.contigs_01877	C-1_maxbin.030.fasta.contigs_00757	Q	R	83.258	no	no
C-1_maxbin.026.fasta_sub.contigs_01882	C-1_maxbin.041.fasta.contigs_01527	Q	X	81.651	no	no
C-1_maxbin.026.fasta_sub.contigs_01884	C-1_maxbin.030.fasta.contigs_00751	Q	R	88.347	no	no
C-1_maxbin.026.fasta_sub.contigs_01885	C-1_maxbin.030.fasta.contigs_00750	Q	R	90.05	no	no
C-1_maxbin.026.fasta_sub.contigs_01887	C-1_maxbin.032.fasta.contigs_00808	Q	S	81.875	no	no
C-1_maxbin.026.fasta_sub.contigs_01892	C-1_maxbin.041.fasta.contigs_00351	Q	X	80.171	no	no
C-1_maxbin.026.fasta_sub.contigs_01901	D43_maxbin.065.fasta.contigs_02590	Q	BH	79.494	no	yes
C-1_maxbin.026.fasta_sub.contigs_01903	D43_maxbin.065.fasta.contigs_00492	Q	BH	78.919	no	yes
C-1_maxbin.026.fasta_sub.contigs_01940	D43_maxbin.007.fasta.contigs_01082	Q	AQ	79.416	no	no
C-1_maxbin.026.fasta_sub.contigs_01979	C-1_maxbin.005.fasta.contigs_00785	Q	D	85.929	no	no
C-1_maxbin.026.fasta_sub.contigs_02003	C-1_maxbin.004.fasta.contigs_00617	Q	C	78.995	no	no
C-1_maxbin.026.fasta_sub.contigs_02039	D43_maxbin.065.fasta.contigs_02698	Q	BH	83.146	no	no
C-1_maxbin.026.fasta_sub.contigs_02044	D43_maxbin.018.fasta.contigs_02314	Q	D	91.014	no	yes
C-1_maxbin.026.fasta_sub.contigs_02045	D43_maxbin.025.fasta.contigs_01341	Q	AU	92.478	yes	no
C-1_maxbin.026.fasta_sub.contigs_02087	D43_maxbin.065.fasta.contigs_01405	Q	BH	78.546	no	no
C-1_maxbin.026.fasta_sub.contigs_02115	C-1_maxbin.030.fasta.contigs_01822	Q	R	91.962	no	no
C-1_maxbin.026.fasta_sub.contigs_02116	D43_maxbin.047.fasta.contigs_02937	Q	BD	92.611	no	no
C-1_maxbin.026.fasta_sub.contigs_02119	D43_maxbin.065.fasta.contigs_02440	Q	BH	82.437	no	no
C-1_maxbin.026.fasta_sub.contigs_02123	D43_maxbin.065.fasta.contigs_01068	Q	BH	78.0	no	no
C-1_maxbin.026.fasta_sub.contigs_02131	C-1_maxbin.033.fasta_sub.contigs_00717	Q	D	80.243	no	no
C-1_maxbin.026.fasta_sub.contigs_02256	D43_maxbin.034.fasta.contigs_01420	Q	A	74.934	no	no
C-1_maxbin.026.fasta_sub.contigs_02277	C-1_maxbin.030.fasta.contigs_03355	Q	R	79.29	no	no
C-1_maxbin.026.fasta_sub.contigs_02278	D43_maxbin.034.fasta.contigs_00486	Q	A	81.694	no	no
C-1_maxbin.026.fasta_sub.contigs_02279	D43_maxbin.097.fasta.contigs_01286	Q	AT	72.653	no	no
C-1_maxbin.026.fasta_sub.contigs_02335	C-1_metabat2.104.fa.contigs_00385	Q	AC	80.114	no	no
C-1_maxbin.026.fasta_sub.contigs_02450	D43_maxbin.025.fasta.contigs_02192	Q	AU	85.965	no	no
C-1_maxbin.026.fasta_sub.contigs_02529	D43_maxbin.065.fasta.contigs_00810	Q	BH	88.53	no	no
C-1_maxbin.026.fasta_sub.contigs_02537	D43_maxbin.007.fasta.contigs_00708	Q	AQ	85.612	no	no
C-1_maxbin.026.fasta_sub.contigs_02551	C-1_metabat2.104.fa.contigs_00029	Q	AC	82.893	no	no
C-1_maxbin.026.fasta_sub.contigs_02647	D43_maxbin.007.fasta.contigs_02284	Q	AQ	80.955	no	no
C-1_maxbin.033.fasta_sub.contigs_00013	D43_metabat2.151.fa.contigs_00054	D	BV	88.457	no	no
C-1_maxbin.033.fasta_sub.contigs_00090	D43_maxbin.047.fasta.contigs_01903	D	BD	99.148	no	yes
C-1_maxbin.033.fasta_sub.contigs_00165	C-1_maxbin.026.fasta_sub.contigs_02217	D	Q	93.824	no	yes
C-1_maxbin.033.fasta_sub.contigs_00181	D43_maxbin.065.fasta.contigs_01557	D	BH	79.809	no	no
C-1_maxbin.033.fasta_sub.contigs_00199	D43_maxbin.006.fasta.contigs_01753	D	AP	87.645	no	no
C-1_maxbin.033.fasta_sub.contigs_00205	D43_maxbin.025.fasta.contigs_00239	D	AU	83.636	no	yes
C-1_maxbin.033.fasta_sub.contigs_00208	D43_maxbin.065.fasta.contigs_01929	D	BH	86.81	no	no
C-1_maxbin.033.fasta_sub.contigs_00239	C-1_maxbin.018.fasta.contigs_02681	D	K	84.137	no	no
C-1_maxbin.033.fasta_sub.contigs_00240	D43_maxbin.065.fasta.contigs_00557	D	BH	89.796	no	no
C-1_maxbin.033.fasta_sub.contigs_00260	D43_maxbin.006.fasta.contigs_01754	D	AP	87.253	yes	no
C-1_maxbin.033.fasta_sub.contigs_00263	D43_maxbin.065.fasta.contigs_00366	D	BH	80.415	no	no
C-1_maxbin.033.fasta_sub.contigs_00293	D43_maxbin.007.fasta.contigs_02845	D	AQ	79.974	no	no
C-1_maxbin.033.fasta_sub.contigs_00379	D43_maxbin.065.fasta.contigs_02086	D	BH	89.431	no	no
C-1_maxbin.033.fasta_sub.contigs_00383	C-1_maxbin.032.fasta.contigs_00447	D	S	83.046	no	no
C-1_maxbin.033.fasta_sub.contigs_00511	D43_maxbin.065.fasta.contigs_02655	D	BH	79.596	no	no
C-1_maxbin.033.fasta_sub.contigs_00512	D43_maxbin.065.fasta.contigs_02654	D	BH	83.817	no	no
C-1_maxbin.033.fasta_sub.contigs_00570	C-1_maxbin.018.fasta.contigs_01230	D	K	83.122	no	no
C-1_maxbin.033.fasta_sub.contigs_00572	C-1_maxbin.030.fasta.contigs_04862	D	R	81.221	no	no
C-1_maxbin.033.fasta_sub.contigs_00594	D43_maxbin.047.fasta.contigs_01242	D	BD	81.716	no	no
C-1_maxbin.033.fasta_sub.contigs_00698	D43_maxbin.065.fasta.contigs_01919	D	BH	82.445	no	no
C-1_maxbin.033.fasta_sub.contigs_00730	C-1_maxbin.032.fasta.contigs_00529	D	S	80.423	no	no
C-1_maxbin.033.fasta_sub.contigs_00741	D43_maxbin.065.fasta.contigs_01970	D	BH	79.507	no	no
C-1_maxbin.033.fasta_sub.contigs_00803	D43_maxbin.047.fasta.contigs_02123	D	BD	91.419	no	yes
C-1_maxbin.033.fasta_sub.contigs_00853	D43_maxbin.005.fasta.contigs_00786	D	AO	73.857	no	no
C-1_maxbin.033.fasta_sub.contigs_00925	C-1_maxbin.041.fasta.contigs_00592	D	X	83.218	no	no
C-1_maxbin.033.fasta_sub.contigs_00931	D43_maxbin.065.fasta.contigs_01919	D	BH	81.98	no	no
C-1_maxbin.033.fasta_sub.contigs_00939	D43_maxbin.009.fasta.contigs_00325	D	Q	99.599	no	yes
C-1_maxbin.033.fasta_sub.contigs_00974	C-1_maxbin.026.fasta_sub.contigs_00019	D	Q	86.778	no	no
C-1_maxbin.033.fasta_sub.contigs_00975	D43_maxbin.041.fasta.contigs_01593	D	Q	85.7	no	no
C-1_maxbin.033.fasta_sub.contigs_00978	D43_maxbin.007.fasta.contigs_02017	D	AQ	81.707	no	no
C-1_maxbin.033.fasta_sub.contigs_00995	D43_maxbin.065.fasta.contigs_01119	D	BH	80.55	no	no
C-1_maxbin.033.fasta_sub.contigs_01001	D43_maxbin.084.fasta.contigs_02493	D	I	81.888	no	no
C-1_maxbin.033.fasta_sub.contigs_01017	D43_maxbin.062.fasta.contigs_02354	D	C	79.31	no	no
C-1_maxbin.033.fasta_sub.contigs_01020	D43_maxbin.062.fasta.contigs_02357	D	C	80.698	no	no
C-1_maxbin.033.fasta_sub.contigs_01206	D43_maxbin.025.fasta.contigs_00542	D	AU	85.624	no	no
C-1_maxbin.033.fasta_sub.contigs_01238	D43_maxbin.047.fasta.contigs_01676	D	BD	85.714	no	yes
C-1_maxbin.033.fasta_sub.contigs_01239	C-1_maxbin.030.fasta.contigs_00771	D	R	83.679	no	yes
C-1_maxbin.033.fasta_sub.contigs_01240	D43_metabat2.151.fa.contigs_00194	D	BV	83.562	no	yes
C-1_maxbin.033.fasta_sub.contigs_01241	C-1_maxbin.030.fasta.contigs_00769	D	R	86.301	no	yes
C-1_maxbin.033.fasta_sub.contigs_01362	D43_maxbin.047.fasta.contigs_02501	D	BD	78.648	no	no
C-1_maxbin.033.fasta_sub.contigs_01393	C-1_maxbin.030.fasta.contigs_00494	D	R	80.403	yes	no
C-1_maxbin.033.fasta_sub.contigs_01419	D43_maxbin.065.fasta.contigs_01509	D	BH	80.313	no	no
C-1_maxbin.033.fasta_sub.contigs_01443	D43_maxbin.009.fasta.contigs_00122	D	Q	91.76	no	yes
C-1_maxbin.033.fasta_sub.contigs_01478	D43_maxbin.065.fasta.contigs_01965	D	BH	90.306	no	no
C-1_maxbin.033.fasta_sub.contigs_01531	C-1_metabat2.43.fa.contigs_01057	D	AD	78.696	no	no
C-1_maxbin.037.fasta.contigs_00120	D43_maxbin.048.fasta.contigs_00208	U	BE	92.045	no	no
C-1_maxbin.037.fasta.contigs_00361	D43_maxbin.021.fasta.contigs_02004	U	AT	100.0	no	yes
C-1_maxbin.037.fasta.contigs_00497	D43_maxbin.061.fasta.contigs_00721	U	BE	86.333	no	no
C-1_maxbin.037.fasta.contigs_00532	D38_maxbin.006.fasta.contigs_01220	U	AJ	97.838	no	no
C-1_maxbin.037.fasta.contigs_00544	D38_maxbin.001.fasta.contigs_00777	U	AG	99.819	no	yes
C-1_maxbin.037.fasta.contigs_00591	D43_maxbin.032.fasta.contigs_00060	U	AX	86.5	no	no
C-1_maxbin.037.fasta.contigs_01003	D43_maxbin.032.fasta.contigs_00059	U	AX	99.94	no	yes
C-1_maxbin.037.fasta.contigs_01005	D43_maxbin.032.fasta.contigs_00061	U	AX	100.0	no	yes
